21,29/F2,46,60,PA12,EIC/EXTINT[12],-,-,-,-,-,-,SERCOM2/PAD[0],SERCOM4/PAD[1],TC2/WO[0],TCC0/WO[6],TCC1/WO[2],-,SDHC0/SDCD,-,PCC/DEN1,GMAC/GRX[1],AC/CMP[0],-
22,30/G2,47,61,PA13,EIC/EXTINT[13],-,-,-,-,-,-,SERCOM2/PAD[1],SERCOM4/PAD[0],TC2/WO[1],TCC0/WO[7],TCC1/WO[3],-,SDHC0/SDWP,-,PCC/DEN2,GMAC/GRX[0],AC/CMP[1],-
23,31/H1,48,62,PA14,EIC/EXTINT[14],-,-,-,-,-,-,SERCOM2/PAD[2],SERCOM4/PAD[2],TC3/WO[0],TCC2/WO[0],TCC1/WO[2],-,-,-,PCC/CL,K,GMAC/GTXCK,GCLK/IO[0],-
24,32/H2,49,63,PA15,EIC/EXTINT[15],-,-,-,-,-,-,SERCOM2/PAD[3],SERCOM4/PAD[3],TC3/WO[1],TCC2/WO[1],TCC1/WO[3],-,-,-,-,GMAC/GRXER,GCLK/IO[1],-
25,35/G1,52,66,PA16,EIC/EXTINT[0],-,-,-,-,-,X10/Y10,SERCOM1/PAD[0],SERCOM3/PAD[1],TC2/WO[0],TCC1/WO[0],TCC0/WO[4],-,-,-,PCC/DATA[0],GMAC/GCRS,GCLK/IO[2],CCL/IN[0]
26,36/F1,53,67,PA17,EIC/EXTINT[1],-,-,-,-,-,X11/Y11,SERCOM1/PAD[1],SERCOM3/PAD[0],TC2/WO[1],TCC1/WO[1],TCC0/WO[5],-,-,-,PCC/DATA[1],GMAC/GTXEN,GCLK/IO[3],CCL/IN[1]
27,37/E1,54,68,PA18,EIC/EXTINT[2],-,-,-,-,-,X12/Y12,SERCOM1/PAD[2],SERCOM3/PAD[2],TC3/WO[0],TCC1/WO[2],TCC0/WO[6],-,-,-,PCC/DATA[2],GMAC/GTX[0],AC/CMP[0],CCL/IN[2]
28,38/E2,55,69,PA19,EIC/EXTINT[3],-,-,-,-,-,X13/Y13,SERCOM1/PAD[3],SERCOM3/PAD[3],TC3/WO[1],TCC1/WO[3],TCC0/WO[7],-,-,-,PCC/DATA[3],GMAC/GTX[1],AC/CMP[1],CCL/OUT[0]
-,-,56,70,PC16,EIC/EXTINT[0],-,-,-,-,-,SERCOM6/PAD[0],SERCOM0/PAD[1],-,-,TCC0/WO[0],PDEC/QDI[0],-,-,-,-,GMAC/GTX[2],-,-
-,-,57,71,PC17,EIC/EXTINT[1],-,-,-,-,-,SERCOM6/PAD[1],SERCOM0/PAD[0],-,-,TCC0/WO[1],PDEC/QDI[1],-,-,-,-,GMAC/GTX[3],-,-
-,-,58,72,PC18,EIC/EXTINT[2],-,-,-,-,-,SERCOM6/PAD[2],SERCOM0/PAD[2],-,-,TCC0/WO[2],PDEC/QDI[2],-,-,-,-,GMAC/GRXCK,-,-
-,-,59,73,PC19,EIC/EXTINT[3],-,-,-,-,-,SERCOM6/PAD[3],SERCOM0/PAD[3],-,-,TCC0/WO[3],-,-,-,-,-,GMAC/GTXER,-,-
-,-,60,74,PC20,EIC/EXTINT[4],-,-,-,-,-,-,-,-,-,TCC0/WO[4],-,-,SDHC1/SDCD,-,-,GMAC/GRXDV,-,CCL/IN[9]
-,-,61,75,PC21,EIC/EXTINT[5],-,-,-,-,-,-,-,-,-,TCC0/WO[5],-,-,SDHC1/SDWP,-,-,GMAC/GCOL,-,CCL/IN[10]
-,-,-,76,PC22,EIC/EXTINT[6],-,-,-,-,-,SERCOM1/PAD[0],SERCOM3/PAD[1],-,-,TCC0/WO[6],-,-,-,-,-,GMAC/GMDC,-,-
-,-,-,77,PC23,EIC/EXTINT[7],-,-,-,-,-,SERCOM1/PAD[1],SERCOM3/PAD[0],-,-,TCC0/WO[7],-,-,-,-,-,GMAC/GMDIO,-,-
